,title,link
47,Leviathan by Thomas Hobbes,/ebooks/3207
48,Loved and lost : by Bertha M. Clay,/ebooks/74670
49,Jane Eyre: An Autobiography by Charlotte Brontë,/ebooks/1260
50,The Adventures of Sherlock Holmes by Arthur Conan Doyle,/ebooks/1661
51,The Souls of Black Folk by W. E. B.  Du Bois,/ebooks/408
52,Ulysses by James Joyce,/ebooks/4300
53,History of the big bonanza by Dan De Quille,/ebooks/74667
54,Don Quijote by Miguel de Cervantes Saavedra,/ebooks/2000
55,The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,/ebooks/1184
56,The Odyssey by Homer,/ebooks/1727
57,Second Treatise of Government by John Locke,/ebooks/7370
58,The Iliad by Homer,/ebooks/6130
59,Beowulf: An Anglo-Saxon Epic Poem,/ebooks/16328
60,Du côté de chez Swann by Marcel Proust,/ebooks/2650
61,The Devil is an Ass by Ben Jonson,/ebooks/50150
62,Calculus Made Easy by Silvanus P.  Thompson,/ebooks/33283
63,Grimms' Fairy Tales by Jacob Grimm and Wilhelm Grimm,/ebooks/2591
64,Heart of Darkness by Joseph Conrad,/ebooks/219
65,The King in Yellow by Robert W.  Chambers,/ebooks/8492
66,Beyond Good and Evil by Friedrich Wilhelm Nietzsche,/ebooks/4363
67,The Romance of Lust: A classic Victorian erotic novel by Anonymous,/ebooks/30254
68,A Study in Scarlet by Arthur Conan Doyle,/ebooks/244
69,The Confessions of St. Augustine by Bishop of Hippo Saint Augustine,/ebooks/3296
70,"Narrative of the Life of Frederick Douglass, an American Slave by Frederick Douglass",/ebooks/23
71,Wuthering Heights by Emily Brontë,/ebooks/768
72,"The Adventures of Tom Sawyer, Complete by Mark Twain",/ebooks/74
73,Don Quixote by Miguel de Cervantes Saavedra,/ebooks/996
74,Dubliners by James Joyce,/ebooks/2814
75,The Republic by Plato,/ebooks/1497
76,The divine comedy by Dante Alighieri,/ebooks/8800
77,The Tragical History of Doctor Faustus by Christopher Marlowe,/ebooks/779
78,Tractatus Logico-Philosophicus by Ludwig Wittgenstein,/ebooks/5740
79,Doctrina Christiana,/ebooks/16119
80,On Liberty by John Stuart Mill,/ebooks/34901
81,The Works of Edgar Allan Poe — Volume 2 by Edgar Allan Poe,/ebooks/2148
82,White Nights and Other Stories by Fyodor Dostoyevsky,/ebooks/36034
83,The Kama Sutra of Vatsyayana by Vatsyayana,/ebooks/27827
84,Les Misérables by Victor Hugo,/ebooks/135
85,Anne of Green Gables by L. M.  Montgomery,/ebooks/45
86,Josefine Mutzenbacher by Felix Salten,/ebooks/31284
87,"Walden, and On The Duty Of Civil Disobedience by Henry David Thoreau",/ebooks/205
88,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African by Equiano",/ebooks/15399
89,Le Morte d'Arthur: Volume 1 by Sir Thomas Malory,/ebooks/1251
90,Carmilla by Joseph Sheridan Le Fanu,/ebooks/10007
91,Little Women by Louisa May Alcott,/ebooks/514
92,The Wonderful Wizard of Oz by L. Frank  Baum,/ebooks/55
93,Winnie-the-Pooh by A. A.  Milne,/ebooks/67098
94,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley",/ebooks/41445
95,The Hound of the Baskervilles by Arthur Conan Doyle,/ebooks/2852
96,Novo dicionário da língua portuguesa by Cândido de Figueiredo,/ebooks/31552
97,Meditations by Emperor of Rome Marcus Aurelius,/ebooks/2680
98,"An Essay Concerning Humane Understanding, Volume 1 by John Locke",/ebooks/10615
99,Through the Looking-Glass by Lewis Carroll,/ebooks/12
100,The First Book of Adam and Eve by Rutherford Hayes Platt,/ebooks/398
101,The Ethics of Aristotle by Aristotle,/ebooks/8438
102,Les misérables Tome I: Fantine by Victor Hugo,/ebooks/17489
103,The Art of War by active 6th century B.C. Sunzi,/ebooks/132
104,The Philippines a Century Hence by José Rizal,/ebooks/35899
105,Oliver Twist by Charles Dickens,/ebooks/730
106,Emma by Jane Austen,/ebooks/158
107,Plays by Susan Glaspell,/ebooks/10623
108,"Incidents in the Life of a Slave Girl, Written by Herself by Harriet A.  Jacobs",/ebooks/11030
109,The Prophet by Kahlil Gibran,/ebooks/58585
110,The Problems of Philosophy by Bertrand Russell,/ebooks/5827
111,The mirror and the bracelet : by A. L. O. E.,/ebooks/74662
112,The Life and Adventures of Robinson Crusoe by Daniel Defoe,/ebooks/521
113,Diccionario Ingles-Español-Tagalog by Sofronio G. Calderón,/ebooks/20738
114,"The Rámáyan of Válmíki, translated into English verse by Valmiki",/ebooks/24869
115,"Hamlet, Prince of Denmark by William Shakespeare",/ebooks/27761
116,The Reign of Greed by José Rizal,/ebooks/10676
117,Hard Times by Charles Dickens,/ebooks/786
118,Candide by Voltaire,/ebooks/19942
119,The History of the Peloponnesian War by Thucydides,/ebooks/7142
120,Notes from the Underground by Fyodor Dostoyevsky,/ebooks/600
121,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley",/ebooks/42324
122,The Critique of Pure Reason by Immanuel Kant,/ebooks/4280
123,Peter Pan by J. M.  Barrie,/ebooks/16
124,The murder of Roger Ackroyd by Agatha Christie,/ebooks/69087
125,David Copperfield by Charles Dickens,/ebooks/766
126,Noli Me Tangere by José Rizal,/ebooks/20228
127,"Spenser's The Faerie Queene, Book I by Edmund Spenser",/ebooks/15272
128,Sense and Sensibility by Jane Austen,/ebooks/161
129,"The Metamorphoses of Ovid, Books I-VII by Ovid",/ebooks/21765
130,Treasure Island by Robert Louis Stevenson,/ebooks/120
131,The War of the Worlds by H. G.  Wells,/ebooks/36
132,The King James Version of the Bible,/ebooks/10
133,Phaedrus by Plato,/ebooks/1636
134,Æsop's Fables: A Version for Young Readers by Aesop and J. H.  Stickney,/ebooks/49010
135,Essays of Michel de Montaigne — Complete by Michel de Montaigne,/ebooks/3600
136,Lysistrata by Aristophanes,/ebooks/7700
137,Antiquities of the Jews by Flavius Josephus,/ebooks/2848
138,An Inquiry into the Nature and Causes of the Wealth of Nations by Adam Smith,/ebooks/3300
139,The Social Cancer: A Complete English Version of Noli Me Tangere by José Rizal,/ebooks/6737
140,The Jungle Book by Rudyard Kipling,/ebooks/236
141,Gulliver's Travels into Several Remote Nations of the World by Jonathan Swift,/ebooks/829
142,Notre-Dame de Paris - Tome 1 by Victor Hugo,/ebooks/70891
143,Memoirs of Fanny Hill by John Cleland,/ebooks/25305
144,Oedipus King of Thebes by Sophocles,/ebooks/27673
145,On War by Carl von Clausewitz,/ebooks/1946
146,Childe Harold's Pilgrimage by Baron George Gordon Byron Byron,/ebooks/5131
147,Madame Bovary by Gustave Flaubert,/ebooks/2413
148,The Genealogy of Morals by Friedrich Wilhelm Nietzsche,/ebooks/52319
149,Pascal's Pensées by Blaise Pascal,/ebooks/18269
150,The Sorrows of Young Werther by Johann Wolfgang von Goethe,/ebooks/2527
151,A Portrait of the Artist as a Young Man by James Joyce,/ebooks/4217
152,Anabasis by Xenophon,/ebooks/1170
153,Autobiography of Benjamin Franklin by Benjamin Franklin,/ebooks/20203
154,Paradise Lost by John Milton,/ebooks/26
155,"The Best of the World's Classics, Restricted to Prose, Vol. X (of X) - America - II, Index",/ebooks/29145
156,"A brief history of the 3rd Battalion, 1st Punjab Regiment : by Anonymous",/ebooks/74664
157,Don Juan by Baron George Gordon Byron Byron,/ebooks/21700
158,Faust [part 1]. Translated Into English in the Original Metres by Johann Wolfgang von Goethe,/ebooks/14591
159,Hedda Gabler by Henrik Ibsen,/ebooks/4093
160,The Decameron of Giovanni Boccaccio by Giovanni Boccaccio,/ebooks/23700
161,Cookery and Dining in Imperial Rome by Apicius,/ebooks/29728
162,A Christmas Carol by Charles Dickens,/ebooks/24022
163,"The Awakening, and Selected Short Stories by Kate Chopin",/ebooks/160
164,Ethics by Benedictus de Spinoza,/ebooks/3800
165,Democracy in America — Volume 1 by Alexis de Tocqueville,/ebooks/815
166,How the Other Half Lives: Studies Among the Tenements of New York by Jacob A.  Riis,/ebooks/45502
167,The Vampyre; a Tale by John William Polidori,/ebooks/6087
168,Anna Karenina by graf Leo Tolstoy,/ebooks/1399
169,The Time Machine by H. G.  Wells,/ebooks/35
170,Siddhartha by Hermann Hesse,/ebooks/2500
171,Songs of Innocence and of Experience by William Blake,/ebooks/1934
172,"The Birth of Tragedy; or, Hellenism and Pessimism by Friedrich Wilhelm Nietzsche",/ebooks/51356
173,The Communist Manifesto by Friedrich Engels and Karl Marx,/ebooks/61
174,Persuasion by Jane Austen,/ebooks/105
175,"A voyage to South America, with an account of a shipwreck in the river La Plata, in the year 1817",/ebooks/74661
176,The Secret Garden by Frances Hodgson Burnett,/ebooks/17396
177,Uncle Tom's Cabin by Harriet Beecher Stowe,/ebooks/203
178,The Prince and the Pauper by Mark Twain,/ebooks/1837
179,2 B R 0 2 B by Kurt Vonnegut,/ebooks/21279
180,The Elements of Style by William Strunk,/ebooks/37134
181,Twenty Thousand Leagues under the Sea by Jules Verne,/ebooks/164
182,On the Origin of Species By Means of Natural Selection by Charles Darwin,/ebooks/1228
183,An Enquiry Concerning Human Understanding by David Hume,/ebooks/9662
184,"Poems, with The Ballad of Reading Gaol by Oscar Wilde",/ebooks/1057
185,Sir Gawayne and the Green Knight,/ebooks/14568
186,"The Story of Beowulf, Translated from Anglo-Saxon into Modern English Prose",/ebooks/50742
187,"Les mille et une nuits, tome premier",/ebooks/26296
188,"The lesser Key of Solomon, Goetia, the book of evil spirits :",/ebooks/72679
189,Mi Ultimo Adiós by José Rizal,/ebooks/18600
190,Ethan Frome by Edith Wharton,/ebooks/4517
191,Around the World in Eighty Days by Jules Verne,/ebooks/103
192,A Journey to the Centre of the Earth by Jules Verne,/ebooks/18857
193,Macbeth by William Shakespeare,/ebooks/1533
194,The Works of Edgar Allan Poe — Volume 1 by Edgar Allan Poe,/ebooks/2147
195,Portraits of women by Gamaliel Bradford,/ebooks/74674
196,Northanger Abbey by Jane Austen,/ebooks/121
197,La Odisea by Homer,/ebooks/58221
198,The Tempest by William Shakespeare,/ebooks/23042
199,"The Twilight of the Idols; or, How to Philosophize with the Hammer. The Antichrist by Nietzsche",/ebooks/52263
200,The Anabasis of Alexander by Arrian,/ebooks/46976
201,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,/ebooks/59
202,Twelve Years a Slave by Solomon Northup,/ebooks/45631
203,I. Beówulf: an Anglo-Saxon poem. II. The fight at Finnsburh: a fragment.,/ebooks/9700
204,De Profundis by Oscar Wilde,/ebooks/921
205,Perpetual Peace: A Philosophical Essay by Immanuel Kant,/ebooks/50922
206,The Sea-Gull by Anton Pavlovich Chekhov,/ebooks/1754
207,The Jungle by Upton Sinclair,/ebooks/140
208,Helps to Latin Translation at Sight by Edmund Luce,/ebooks/28890
209,The History of Herodotus — Volume 1 by Herodotus,/ebooks/2707
210,"The Mahabharata of Krishna-Dwaipayana Vyasa, Volume 1",/ebooks/15474
211,Struwwelpeter: Merry Stories and Funny Pictures by Heinrich Hoffmann,/ebooks/12116
212,"The Ladies' Book of Etiquette, and Manual of Politeness by Florence Hartley",/ebooks/35123
213,Der Weg nach Heilisoe by Paul Steinmüller,/ebooks/74665
214,1001 задача для умственного счета by Sergei Aleksandrovich Rachinskii,/ebooks/16527
215,A Pickle for the Knowing Ones by Timothy Dexter,/ebooks/43453
216,Pygmalion by Bernard Shaw,/ebooks/3825
217,Les trois mousquetaires by Alexandre Dumas and Auguste Maquet,/ebooks/13951
218,Daddy Takes Us to the Garden by Howard Roger Garis,/ebooks/14859
219,"Landesverein Sächsischer Heimatschutz — Mitteilungen Band XIV, Heft 9-12 :",/ebooks/74668
220,The Turn of the Screw by Henry James,/ebooks/209
221,"Chaucer's Works, Volume 4 — The Canterbury Tales by Geoffrey Chaucer",/ebooks/22120
222,The call of the wild by Jack London,/ebooks/215
223,"Bartleby, the Scrivener: A Story of Wall-Street by Herman Melville",/ebooks/11231
224,The Castle of Otranto by Horace Walpole,/ebooks/696
225,Complete Original Short Stories of Guy De Maupassant by Guy de Maupassant,/ebooks/3090
226,Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson by Mary White Rowlandson,/ebooks/851
227,El paraíso perdido by John Milton,/ebooks/67092
228,Symposium by Plato,/ebooks/1600
229,The Invisible Man: A Grotesque Romance by H. G.  Wells,/ebooks/5230
230,"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life by Sherwood Anderson",/ebooks/416
231,The Sign of the Four by Arthur Conan Doyle,/ebooks/2097
232,Les Fleurs du Mal by Charles Baudelaire,/ebooks/6099
233,Essays by Ralph Waldo Emerson by Ralph Waldo Emerson,/ebooks/16643
234,"The Happy Prince, and Other Tales by Oscar Wilde",/ebooks/902
235,Mosses from an old manse by Nathaniel Hawthorne,/ebooks/512
236,North and South by Elizabeth Cleghorn Gaskell,/ebooks/4276
237,The Marriage of Heaven and Hell by William Blake,/ebooks/45315
238,The Nuttall Encyclopædia by P. Austin Nuttall,/ebooks/12342
239,Bleak House by Charles Dickens,/ebooks/1023
240,Heath's French and English dictionary by James Boïelle,/ebooks/74672
241,The Idiot by Fyodor Dostoyevsky,/ebooks/2638
242,Three Men in a Boat (To Say Nothing of the Dog) by Jerome K.  Jerome,/ebooks/308
243,"Le comte de Monte-Cristo, Tome I by Alexandre Dumas and Auguste Maquet",/ebooks/17989
244,"Hamlet, Prince of Denmark by William Shakespeare",/ebooks/1524
245,A History of the Philippines by David P. Barrows,/ebooks/38269
246,In Praise of Folly by Desiderius Erasmus,/ebooks/30201
247,Southern Horrors: Lynch Law in All Its Phases by Ida B. Wells-Barnett,/ebooks/14975
248,"1900; or, The last President by Ingersoll Lockwood",/ebooks/60479
249,The Jewish State by Theodor Herzl,/ebooks/25282
250,Die Verwandlung by Franz Kafka,/ebooks/22367
251,Mansfield Park by Jane Austen,/ebooks/141
252,The Consolation of Philosophy by Boethius,/ebooks/14328
253,Myths and Legends of Ancient Greece and Rome by E. M. Berens,/ebooks/22381
254,A Connecticut Yankee in King Arthur's Court by Mark Twain,/ebooks/86
255,Tess of the d'Urbervilles: A Pure Woman by Thomas Hardy,/ebooks/110
256,The History of the Decline and Fall of the Roman Empire by Edward Gibbon,/ebooks/25717
257,Dao De Jing: A Minimalist Translation by Laozi,/ebooks/49965
258,The Red Room by H. G.  Wells,/ebooks/23218
259,The Antichrist by Friedrich Wilhelm Nietzsche,/ebooks/19322
260,The Flowers of Evil by Charles Baudelaire,/ebooks/36098
261,The Subjection of Women by John Stuart Mill,/ebooks/27083
262,Baron Trump's Marvellous Underground Journey by Ingersoll Lockwood,/ebooks/57426
263,The Red Record by Ida B. Wells-Barnett,/ebooks/14977
264,Utopia by Saint Thomas More,/ebooks/2130
265,A Midsummer Night's Dream by William Shakespeare,/ebooks/1514
266,The Iliad by Homer,/ebooks/2199
267,"The Junior Classics, Volume 1: Fairy and wonder tales by William Allan Neilson",/ebooks/28942
268,九命奇冤 by Jianren Wu,/ebooks/24113
269,The Satyricon — Complete by Petronius Arbiter,/ebooks/5225
270,Trois femmes by Pierre Mille,/ebooks/70954
271,The Innocents Abroad by Mark Twain,/ebooks/3176
272,"Bacon's Essays, and Wisdom of the Ancients by Francis Bacon",/ebooks/56463
273,A First Spanish Reader by Alfred Remy and Erwin W.  Roessler,/ebooks/15353
274,A Treatise of Human Nature by David Hume,/ebooks/4705
275,海公案 by Anonymous,/ebooks/54494
276,Nature by Ralph Waldo Emerson,/ebooks/29433
277,On the Duty of Civil Disobedience by Henry David Thoreau,/ebooks/71
278,The Phantom of the Opera by Gaston Leroux,/ebooks/175
279,The Lady with the Dog and Other Stories by Anton Pavlovich Chekhov,/ebooks/13415
280,"Ah, Oskar! : by Eugène Scribe",/ebooks/74666
281,Tribute to Michael Hart by Majid AlHydar,/ebooks/43007
282,"Poems by Emily Dickinson, Three Series, Complete by Emily Dickinson",/ebooks/12242
283,"Travels in Eastern Africa, volume 1 (of 2) : by Lyons McLeod",/ebooks/74675
284,The Elementary Forms of the Religious Life by Émile Durkheim,/ebooks/41360
285,Rizal's own story of his life by José Rizal,/ebooks/48438
286,Common Sense by Thomas Paine,/ebooks/147
287,The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson,/ebooks/42
288,Charmes by Paul Valéry,/ebooks/71062
289,The Poetics of Aristotle by Aristotle,/ebooks/1974
290,Democracy in America — Volume 2 by Alexis de Tocqueville,/ebooks/816
291,Leaves of Grass by Walt Whitman,/ebooks/1322
292,"Othello, the Moor of Venice by William Shakespeare",/ebooks/1531
293,The Ten Books on Architecture by Vitruvius Pollio,/ebooks/20239
294,The Duchess of Malfi by John Webster,/ebooks/2232
295,"Travels in Eastern Africa, volume 2 (of 2) : by Lyons McLeod",/ebooks/74676
296,The Online World by Odd De Presno,/ebooks/80
297,"The Thousand and One Nights, Vol. I.",/ebooks/34206
298,Aesop's Fables; a new translation by Aesop,/ebooks/11339
299,Chambers's Twentieth Century Dictionary (part 1 of 4: A-D),/ebooks/37683
300,"Twelfth Night; Or, What You Will by William Shakespeare",/ebooks/1526
301,The Trial by Franz Kafka,/ebooks/7849
302,The Federalist Papers by Alexander Hamilton and John Jay and James Madison,/ebooks/1404
303,R.U.R. (Rossum's Universal Robots) by Karel Čapek,/ebooks/59112
304,"The Wars of the Jews; Or, The History of the Destruction of Jerusalem by Flavius Josephus",/ebooks/2850
305,"The Mysterious Stranger, and Other Stories by Mark Twain",/ebooks/3186
306,Mrs. Dalloway by Virginia Woolf,/ebooks/71865
307,"The Lives of the Twelve Caesars, Complete by Suetonius",/ebooks/6400
308,The Eyes Have It by Philip K. Dick,/ebooks/31516
309,"The Song Celestial; Or, Bhagavad-Gîtâ (from the Mahâbhârata)",/ebooks/2388
310,My autobiography by Benito Mussolini,/ebooks/74673
311,An Occurrence at Owl Creek Bridge by Ambrose Bierce,/ebooks/375
312,The Aeneid by Virgil,/ebooks/228
313,White Fang by Jack London,/ebooks/910
314,Medea of Euripides by Euripides,/ebooks/35451
315,Panama to Patagonia : by Charles M.  Pepper,/ebooks/74660
316,A Christmas Carol by Charles Dickens,/ebooks/19337
317,"Ang ""Filibusterismo"" (Karugtóng ng Noli Me Tangere) by José Rizal",/ebooks/47629
318,The Fall of the House of Usher by Edgar Allan Poe,/ebooks/932
319,Short Stories by Fyodor Dostoyevsky,/ebooks/40745
320,Our Mutual Friend by Charles Dickens,/ebooks/883
321,The art of money getting : by P. T.  Barnum,/ebooks/8581
322,Revelations of Divine Love,/ebooks/52958
323,A Little Princess by Frances Hodgson Burnett,/ebooks/146
324,Notre-Dame de Paris by Victor Hugo,/ebooks/2610
325,Fundamental Principles of the Metaphysic of Morals by Immanuel Kant,/ebooks/5682
326,The Merchant of Venice by William Shakespeare,/ebooks/1515
327,Beowulf,/ebooks/981
328,"In Flanders Fields, and Other Poems by John McCrae",/ebooks/353
329,The Tenniel Illustrations for Carroll's Alice in Wonderland by John Tenniel,/ebooks/114
330,"The City of God, Volume I by Bishop of Hippo Saint Augustine",/ebooks/45304
331,The Lady of the Lake by Walter Scott,/ebooks/3011
332,The possessed : by Fyodor Dostoyevsky,/ebooks/8117
333,"She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy by Oliver Goldsmith",/ebooks/383
334,A Concise Dictionary of Middle English from A.D. 1150 to 1580 by A. L.  Mayhew and Walter W.  Skeat,/ebooks/10625
335,A Journal of the Plague Year by Daniel Defoe,/ebooks/376
336,"L'Illustration, No. 0025, 19 Août 1843 by Various",/ebooks/38358
337,How We Think by John Dewey,/ebooks/37423
338,The island of Doctor Moreau by H. G.  Wells,/ebooks/159
339,The Republic of Plato by Plato,/ebooks/55201
340,The Grand Inquisitor by Fyodor Dostoyevsky,/ebooks/8578
341,Apology by Plato,/ebooks/1656
342,Uncle Vanya: Scenes from Country Life in Four Acts by Anton Pavlovich Chekhov,/ebooks/1756
343,The Masque of the Red Death by Edgar Allan Poe,/ebooks/1064
344,Riders to the Sea by J. M.  Synge,/ebooks/994
345,The Pursuit of God by A. W.  Tozer,/ebooks/25141
346,"The History of Rome, Books 01 to 08 by Livy",/ebooks/19725
347,Alice's Adventures in Wonderland by Lewis Carroll,/ebooks/19033
348,The Wendigo by Algernon Blackwood,/ebooks/10897
349,The Tale of Peter Rabbit by Beatrix Potter,/ebooks/14838
350,The Aeneid of Virgil by Virgil,/ebooks/22456
351,The three musketeers by Alexandre Dumas and Auguste Maquet,/ebooks/1257
352,"The Will to Believe, and Other Essays in Popular Philosophy by William James",/ebooks/26659
353,Kidnapped by Robert Louis Stevenson,/ebooks/421
354,Vanity Fair by William Makepeace Thackeray,/ebooks/599
355,The Valley of Fear by Arthur Conan Doyle,/ebooks/3289
356,La Divina Comedia by Dante Alighieri,/ebooks/57303
357,The Mysterious Affair at Styles by Agatha Christie,/ebooks/863
358,The Tale of Squirrel Nutkin by Beatrix Potter,/ebooks/14872
359,The Wind in the Willows by Kenneth Grahame,/ebooks/27805
360,The Social Contract & Discourses by Jean-Jacques Rousseau,/ebooks/46333
361,Der Struwwelpeter by Heinrich Hoffmann,/ebooks/24571
362,The Age of Innocence by Edith Wharton,/ebooks/541
363,The Devil's Dictionary by Ambrose Bierce,/ebooks/972
364,Roget's Thesaurus of English Words and Phrases by Peter Mark Roget,/ebooks/10681
365,"The Garden Party, and Other Stories by Katherine Mansfield",/ebooks/1429
366,Doña Perfecta by Benito Pérez Galdós,/ebooks/15725
367,A Shropshire Lad by A. E.  Housman,/ebooks/5720
368,An Enemy of the People by Henrik Ibsen,/ebooks/2446
369,Just so stories by Rudyard Kipling,/ebooks/2781
370,Best Russian Short Stories,/ebooks/13437
371,The Interpretation of Dreams by Sigmund Freud,/ebooks/66048
372,Poirot Investigates by Agatha Christie,/ebooks/61262
373,Memoirs of Extraordinary Popular Delusions and the Madness of Crowds by Charles Mackay,/ebooks/24518
374,The Memoirs of Sherlock Holmes by Arthur Conan Doyle,/ebooks/834
375,Gorgias by Plato,/ebooks/1672
376,Anthem by Ayn Rand,/ebooks/1250
377,Life Is a Dream by Pedro Calderón de la Barca,/ebooks/2587
378,The Pickwick Papers by Charles Dickens,/ebooks/580
379,The Sun Also Rises by Ernest Hemingway,/ebooks/67138
380,"Ang Liham ni Dr. Jose Rizal sa mga Kadalagahan sa Malolos, Bulakan by José Rizal",/ebooks/17116
381,The Wind in the Willows by Kenneth Grahame,/ebooks/289
382,Anne of the Island by L. M.  Montgomery,/ebooks/51
383,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar by Maurice Leblanc",/ebooks/6133
384,The Monkey's Paw by W. W.  Jacobs,/ebooks/12122
385,This Side of Paradise by F. Scott  Fitzgerald,/ebooks/805
386,Aesop's Fables by Aesop,/ebooks/21
387,The Practice and Science of Drawing by Harold Speed,/ebooks/14264
388,Euthyphro by Plato,/ebooks/1642
389,The Gilded Age: A Tale of Today by Mark Twain and Charles Dudley Warner,/ebooks/3178
390,Peter and Wendy by J. M.  Barrie,/ebooks/26654
391,The Alchemist by Ben Jonson,/ebooks/4081
392,The Adventures of Pinocchio by Carlo Collodi,/ebooks/500
393,Gargantua and Pantagruel by François Rabelais,/ebooks/1200
394,Omens and Superstitions of Southern India by Edgar Thurston,/ebooks/35690
395,Spanish Tales for Beginners,/ebooks/36805
396,The Mysterious Island by Jules Verne,/ebooks/1268
397,Discours de la méthode by René Descartes,/ebooks/13846
398,The Anatomy of Melancholy by Robert Burton,/ebooks/10800
399,We by Evgenii Ivanovich Zamiatin,/ebooks/61963
400,Language of Flowers by Kate Greenaway,/ebooks/31591
401,"Life in the Iron-Mills; Or, The Korl Woman by Rebecca Harding Davis",/ebooks/876
402,"On Heroes, Hero-Worship, and the Heroic in History by Thomas Carlyle",/ebooks/1091
403,"The Doré Bible Gallery, Complete",/ebooks/8710
404,Kim by Rudyard Kipling,/ebooks/2226
405,Fairy Tales of Hans Christian Andersen by H. C.  Andersen,/ebooks/27200
406,Salomé: A Tragedy in One Act by Oscar Wilde,/ebooks/42704
407,"Shakespearean Tragedy: Lectures on Hamlet, Othello, King Lear, Macbeth by A. C.  Bradley",/ebooks/16966
408,Much Ado about Nothing by William Shakespeare,/ebooks/1519
409,A Dictionary of Cebuano Visayan by John U. Wolff,/ebooks/40074
410,論衡 by Chong Wang,/ebooks/25397
411,The Way of the World by William Congreve,/ebooks/1292
412,Philippine Folk Tales,/ebooks/12814
413,"The History of Don Quixote, Volume 1, Complete by Miguel de Cervantes Saavedra",/ebooks/5921
414,The Tragedy of King Lear by William Shakespeare,/ebooks/1532
415,"Pamela, or Virtue Rewarded by Samuel Richardson",/ebooks/6124
416,Etiquette by Emily Post,/ebooks/14314
417,Bede's Ecclesiastical History of England by Saint the Venerable Bede,/ebooks/38326
418,Black Beauty by Anna Sewell,/ebooks/271
419,Andersen's Fairy Tales by H. C.  Andersen,/ebooks/1597
